
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              k|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              [|              ]|              
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|            s 6|            s 7|            s 8|               |           s 19|            s 9|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             59|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R*R|               |       r Q->R*R|       r Q->R*R|       r Q->R*R|               |       r Q->R*R|       r Q->R*R|       r Q->R*R|       r Q->R*R|           s 36|           s 37|           s 38|               |               |               |               |
             60|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R~R|               |       r P->R~R|               |       r P->R~R|               |       r P->R~R|       r P->R~R|               |               |           s 36|           s 37|           s 38|               |               |               |               |
             61|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 81|               |               |               |               |               |               |               |               |               |               |               |               |
             62|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r R->(R)|               |       r R->(R)|       r R->(R)|       r R->(R)|               |       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|               |               |               |               |
             63|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|               |               |            s 8|               |           s 65|           s 29|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             64|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r M->fb;L|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             65|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->x|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             66|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r M->gb;L|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             67|               |           s 83|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             68|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 84|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
